row,risk,cls,wti_fc
15,0.0,0,45.86836624145508
16,0.0,0,46.98369598388672
17,0.0,0,45.58953094482422
18,0.0,0,45.86836624145508
19,0.0,0,45.03186798095703
20,0.0,0,45.58953094482422
21,0.0,0,43.916542053222656
22,0.0,0,41.964717864990234
23,0.0,0,39.17639923095703
24,0.0,0,37.7822380065918
25,0.0,0,38.61873245239258
26,0.0,0,37.5034065246582
27,0.0,0,38.61873245239258
28,0.0,0,40.291725158691406
29,0.0,0,40.291725158691406
30,0.0,0,40.570556640625
31,0.0,0,37.5034065246582
32,0.0,0,38.06106948852539
33,0.0,0,39.455230712890625
34,0.0,0,41.40705108642578
35,0.0,0,42.24354934692383
36,0.0,0,44.19537353515625
37,0.0,0,44.75303649902344
38,0.0,0,45.03186798095703
39,0.0,0,44.75303649902344
40,0.0,0,44.19537353515625
41,0.0,0,46.14719772338867
42,0.0,0,47.541358947753906
43,0.0,0,50.32967758178711
44,0.0,0,51.166175842285156
45,0.0,0,52.560333251953125
46,0.0,0,52.83916473388672
47,0.0,0,55.62748718261719
48,0.0,0,53.95449447631836
49,0.0,0,58.97346878051758
50,0.0,0,59.53113555908203
51,0.0,0,61.48295974731445
52,0.0,0,57.300479888916016
53,0.0,0,58.694637298583984
54,0.0,0,59.25230407714844
55,0.0,0,58.1369743347168
56,0.0,0,57.300479888916016
57,0.0,0,56.74281311035156
58,0.0,0,59.25230407714844
59,0.0,0,58.1369743347168
60,0.0,0,59.25230407714844
61,0.0,0,57.8581428527832
62,0.0,0,58.97346878051758
63,0.0,0,57.021644592285156
64,0.0,0,56.74281311035156
65,0.0,0,54.51215744018555
66,0.0,0,53.11799621582031
67,0.0,0,52.83916473388672
68,0.0,0,50.88734436035156
69,0.0,0,50.32967758178711
70,0.0,0,51.44500732421875
71,0.0,0,50.88734436035156
72,0.0,0,52.28150177001953
73,0.0,0,52.560333251953125
74,0.0,0,51.723838806152344
75,0.0,0,54.51215744018555
76,0.0,0,55.62748718261719
77,0.0,0,58.97346878051758
78,0.0,0,61.204124450683594
79,0.0,0,61.76179122924805
80,0.0,0,59.809967041015625
81,0.00390625,0,61.204124450683594
82,0.0,0,62.319454193115234
83,0.0,0,63.99244689941406
84,0.0,0,63.71361541748047
85,0.0,0,62.04062271118164
86,0.0,0,63.434783935546875
87,0.0,0,65.94426727294922
88,0.0,0,68.4537582397461
89,0.0,0,67.05960083007812
90,0.0,0,65.94426727294922
91,0.0,0,65.66543579101562
92,0.0,0,65.66543579101562
93,0.0,0,69.01142120361328
94,0.0,0,71.52091217041016
95,0.0,0,72.07857513427734
96,0.0,0,74.0303955078125
97,0.0,0,74.86689758300781
98,0.0,0,68.4537582397461
99,0.0,0,63.99244689941406
100,0.0,0,61.76179122924805
101,0.0,0,60.36763000488281
102,0.0,0,59.809967041015625
103,0.0,0,58.1369743347168
104,0.0,0,56.46398162841797
105,0.0,0,55.348655700683594
106,0.0,0,52.28150177001953
107,0.0,0,50.88734436035156
108,0.0,0,46.426029205322266
109,0.0,0,47.8201904296875
110,0.0,0,44.19537353515625
111,0.0,0,45.31070327758789
112,0.0,0,42.80121612548828
113,0.0,0,43.080047607421875
114,0.0,0,43.35887908935547
115,0.0,0,43.080047607421875
116,0.0,0,40.01289367675781
117,0.0,0,39.455230712890625
118,0.0,0,38.61873245239258
119,0.0,0,39.455230712890625
120,0.0,0,36.666908264160156
121,0.0,0,36.38807678222656
122,0.0,0,36.94573974609375
123,0.0,0,37.5034065246582
124,0.0,0,38.89756774902344
125,0.0,0,38.06106948852539
126,0.0,0,37.224571228027344
127,0.0,0,36.10924530029297
128,0.0,0,38.33990478515625
129,0.0,0,36.94573974609375
130,0.0,0,38.06106948852539
131,0.0,0,38.89756774902344
132,0.0,0,39.455230712890625
133,0.0,0,41.40705108642578
134,0.0,0,41.964717864990234
135,0.0,0,43.916542053222656
136,0.0,0,46.426029205322266
137,0.0,0,46.98369598388672
138,0.0,0,49.77201461791992
139,0.0,0,48.65668487548828
140,0.0,0,48.65668487548828
141,0.0,0,50.6085090637207
142,0.0,0,51.44500732421875
143,0.0,0,54.51215744018555
144,0.0,0,54.51215744018555
145,0.0,0,55.62748718261719
146,0.0,0,55.62748718261719
147,0.0,0,57.021644592285156
148,0.00390625,0,57.300479888916016
149,0.0,0,56.185150146484375
150,0.0,0,56.46398162841797
151,0.0,0,56.74281311035156
152,0.0,0,56.74281311035156
153,0.0,0,55.62748718261719
154,0.0,0,56.46398162841797
155,0.0,0,55.348655700683594
156,0.0,0,57.300479888916016
157,0.10588235408067703,0,56.74281311035156
158,0.828125,1,58.1369743347168
159,0.96875,2,55.90631866455078
160,1.0,2,57.300479888916016
161,1.0,2,55.62748718261719
162,1.0,2,57.8581428527832
163,1.0,2,58.41580581665039
164,1.0,1,58.97346878051758
165,1.0,1,57.8581428527832
166,1.0,2,60.08879852294922
167,1.0,2,58.694637298583984
168,1.0,2,60.08879852294922
169,1.0,2,57.57931137084961
